"","stats.usersrated","stats.numweights","stats.owned","details.name","stats.average","stats.averageweight","details.yearpublished"
"4357",5,1,16,"Snap Judgment",4.7,3,1985
"4358",27,3,43,"America's Cup",5.89815,3,2003
"4359",43,6,147,"United Nations",5.08372,2.1667,1982
"4360",23,3,46,"Mattix",5.71739,2,1968
"4361",5,3,13,"The Graingrowin' Game",5.8,3,1982
"4362",215,16,378,"Apples to Apples: Expansion Set #3",6.70233,1.0625,2001
"4363",189,15,316,"Apples to Apples: Expansion Set #4",6.42063,1.2667,2002
"4364",6,2,31,"Swag",6.16667,1.5,2002
"4365",43,3,100,"Marvel Trivia Game",4.82558,1.3333,2001
"4366",648,42,1175,"Apples to Apples: Expansion Set #1",6.42464,1.2143,1999
"4367",15,3,29,"Adultrivia",3.4,1.3333,1984
"4368",52,4,152,"Trivial Pursuit: Warner Bros. All Family Edition",5.34615,1.75,1999
"4369",195,20,559,"The Best of Dragon Magazine Games",6.17979,2.2,1990
"4370",26,1,132,"Borderlands Expansion Set #1",7.27308,1,1982
"4371",15,3,55,"The Con Game",6.23333,2.3333,1989
"4372",45,9,48,"Waving Hands",7.33556,2.7778,1977
"4373",3,1,9,"Cabinet Minister",3,2,1983
"4374",5,2,8,"The Syndicate",5.4,2,1986
"4375",64,14,257,"Brute Force: The War in the West, 1940-1945",6.63594,3.4286,2003
"4376",599,81,944,"The Kids of Catan",5.294,1.0617,2003
"4377",1101,122,1223,"Paris Paris",6.20667,1.9754,2003
"4378",105,20,470,"Victory in the West",6.93429,3.6,1993
"4379",96,21,294,"A Winter War",7.08542,3.5238,1992
"4380",49,14,224,"Aachen",6.47449,3.5714,1983
"4381",133,14,379,"Balkan Front",7.02293,3.8571,1990
"4382",54,10,253,"Bloody 110",6.98519,4,1989
"4383",109,18,464,"Britain Stands Alone",6.61009,3.1667,1994
"4384",13,3,28,"Pot Black Snooker Dice",5.11538,1,1980
"4385",252,41,867,"The Great Battles of Julius Caesar: The Civil Wars 48-45 B.C.",7.16782,3.561,1994
"4386",68,13,195,"Campaign to Stalingrad",6.82647,3.1538,1992
"4387",79,11,215,"Command Decision",6.35646,3.5455,1986
"4388",45,5,89,"Wordrop",5.64,1.6,2002
"4389",152,16,433,"Steam Tunnel",5.64474,1.5625,2003
"4390",105,8,286,"Trivial Pursuit: Walt Disney Family Edition Card Set",5.41524,2,1985
"4391",46,13,146,"Russian Campaign II",7.16522,2.9231,1986
"4392",47,4,122,"Quick Wit",5.11702,1.75,1987
"4393",14,2,43,"The Beat Inflation Strategy Game",3.39286,1.5,1975
"4394",7,2,48,"Mystic Skull: The Game of Voodoo",6.64286,1,1964
"4395",6,3,10,"Screw the Workers",6.16667,2,2001
"4396",18,1,45,"The Wonderful World of Music Game",5.27778,1,2002
"4397",18,2,70,"Disney GuessWords Game",4.68889,1,2001
"4398",26,2,60,"Quest",4.96154,1.5,1978
"4399",18,1,87,"Punch Line",6.26667,2,1978
"4400",53,9,134,"Azuma",5.96757,1,1992
"4401",136,15,439,"The Wonderful World of Disney Trivia Game",5.23015,1.5333,1997
"4402",75,10,251,"Clue II  VCR Mystery Game",6.04533,2.3,1987
"4403",31,6,103,"Minuteman: The Second American Revolution",5.79032,3.5,1976
"4404",51,10,186,"Descent on Crete",6.0098,3.8,1978
"4405",88,15,299,"Frigate",5.84545,3.1333,1974
"4406",33,9,108,"Canadian Civil War",5.4697,3,1977
"4407",35,5,120,"The Flight of the Goeben",7.28571,3,1970
"4408",450,25,833,"Apples to Apples: Expansion Set #2",6.59647,1.16,2000
"4409",1615,161,1924,"10 Days in Europe",6.59367,1.354,2002
"4410",575,89,635,"Mordred",6.18378,1.9663,1999
"4411",54,5,72,"Syzygy",6.12037,1.4,1997
"4412",12,1,38,"Chess Empire",5.91667,3,2003
"4413",10,4,35,"Brain Baseball",5.7,1,1998
"4414",66,4,306,"When Darkness Comes: The Darkness Before the Dawn",6.32045,3,2003
"4415",47,8,178,"Last Battle: Twilight – 2000",5.8383,2.75,1989
"4416",44,3,102,"Grav-Ball",5.78409,1.6667,1982
"4417",28,3,51,"Phantasy Realm",6.75714,1.6667,2002
"4418",22,5,93,"Invasion: Sicily",5.65227,2.2,1974
"4419",52,10,190,"Tet Offensive",6.22115,3.1,1991
"4420",88,13,238,"Europe Aflame",5.44773,2.4615,1989
"4421",28,3,83,"Meschugge",4.55357,2.6667,1988
"4422",94,4,168,"Die Dracheninsel",5.26489,1.25,2003
"4423",9,1,6,"Upbid",4.61111,2,1991
"4424",16,1,21,"Jagun Fighters",4.6375,1,2003
"4425",50,12,229,"1863",5.461,3,1991
"4426",5,1,32,"Topologik",6,2,1973
"4427",38,8,47,"Haunted Mansion Game",6.7,1.125,1972
"4428",2676,207,3945,"Twister",4.58695,1.0918,1966
"4429",1611,149,1539,"Hungry Hungry Hippos",4.07945,1.0604,1966
"4430",14,2,29,"Duel",5.85714,2,1983
"4431",8,1,19,"Extrablatt",5.875,2,1993
"4432",36,7,74,"Fantasy Adventures",4.65417,2,1995
"4433",175,13,269,"Aliens vs. Predator",5.99229,2.2308,1997
"4434",37,5,38,"Man-Eater!",6.02676,1.2,1976
"4435",74,11,144,"Cats' Mansion",4.69459,1.3636,1984
"4436",28,1,37,"Energi",5.83929,2,1978
"4437",15,2,53,"Stock Market Tycoon",4.03333,2.5,2000
"4438",10,2,29,"The Man from U.N.C.L.E. Card Game",4.65,1,1965
"4439",14,2,54,"Star Wars: Return of the Jedi – The Play-for-Power Card Games",4.5,1.5,1983
"4440",15,1,18,"Smellory",4.03333,1,1984
"4441",108,3,281,"Trivial Pursuit: All Star Sports Edition",4.5206,2.3333,1983
"4442",187,11,502,"Trivial Pursuit: Silver Screen Edition",5.2738,1.5455,1983
"4443",7,2,18,"Zaromba und der verhexte Wald",4.28571,1,2002
"4444",13,4,35,"Die Kürbiskopf-Bande",5.88462,1.75,2002
"4445",4,1,15,"Schwuppdibus",6.25,1,2000
"4446",10,1,25,"You Go To Hell",3.84,1,2002
"4447",31,4,161,"Birth of a Nation",5.65484,3.25,1982
"4448",68,10,292,"Hell Hath No Fury",6.64926,2.7,1985
"4449",55,7,227,"Napoleon and the Archduke Charles: The Battle of Aspern-Essling",6.13727,3.2857,1986
"4450",29,4,188,"Glory Road",5.42759,2.75,1986
"4451",43,9,222,"Duel in the Desert",6.23605,2.8889,1986
"4452",250,55,754,"Harpoon (1st & 3rd edition)",6.3194,3.9636,1981
"4453",58,8,262,"Clash of Empires: August 1914",6.82241,2.5,1986
"4454",39,8,216,"Campaigns of Marlborough",6.71667,3.375,1987
"4455",19,4,165,"Fallen Eagle",5.37368,3.25,1987
"4456",37,8,138,"Red Sky Morning",6.31892,2.625,1991
"4457",31,5,161,"Wahoo!",5.91935,2.8,1991
"4458",41,10,229,"Drive on Frankfurt",6.77024,2.7,1987
"4459",5,1,15,"Perplexity",5.4,1,1984
"4460",141,21,562,"Stonewall: The Battle of Kernstown, March 23, 1862",6.5078,3.1429,1978
"4461",75,5,281,"Bug Hunter Sniper!: Sniper! Companion Game #3",6.684,3.2,1988
"4462",301,19,669,"Mermaid Rain",6.32874,2.2105,2003
"4463",722,88,1314,"Mystery Rummy: Al Capone and the Chicago Underworld",6.89587,1.5795,2003
"4464",1,2,7,"Macross: VF-1 Valkyrie",7,3,1984
"4465",1,1,10,"Macross: Space Fold",6,3,1983
"4466",5,1,11,"Crazy Climber",6.2,2,1981
"4467",79,5,143,"Xena: Warrior Princess CCG",5.08101,1,1998
"4468",160,19,275,"Karambolage",6.16469,1.1053,1995
"4469",51,12,323,"Patton Goes to War",6.33529,2.9167,1987
"4470",108,21,420,"South Africa",4.88102,2.7619,1977
"4471",127,17,587,"Tito",5.60528,2.6471,1980
"4472",64,4,200,"NATO, Nukes & Nazis",7.03281,4,1990
"4473",66,11,209,"Scrimmage",3.80455,3.1818,1973
"4474",150,23,318,"Strike Force One",4.58333,1.1304,1975
"4475",48,13,207,"Battle for Basra",4.96667,1.5385,1991
"4476",61,9,267,"American Civil War 1861-1865",6.2541,3.3333,1983
"4477",144,24,511,"October War",6.80597,2.875,1977
"4478",142,10,355,"Sequence Dice",5.42042,1,1999
"4479",2,2,13,"Macross: City Fight",6.15,2,1983
"4480",2,1,5,"Urusei Yatsura: Koi wa Utsurigi",5,3,1985
"4481",3,4,5,"Xabungle: Blue Gale",5.66667,2,1982
"4482",1,1,2,"Urusei Yatsura: Scramble!",6,1,1986
"4483",18,4,40,"Monster Maker 5: Sofia's Holy Knights",6.41667,1.5,1989
"4484",2,1,3,"DiGiCharat's Game of Life",4,1,1997
"4485",6,2,13,"Mothra vs. Godzilla",7,1.5,1982
"4486",23,2,57,"Ra",6.57391,1.5,1981
"4487",17,2,77,"Banditos",5.05882,1.5,2002
"4488",47,9,108,"Wings Over France",7.46809,3.2222,1992
"4489",94,19,389,"Blood & Iron",6.38404,2.5263,1993
"4490",101,14,413,"Lion of Ethiopia",7.26287,2.3571,1990
"4491",138,27,625,"Operation Grenade",6.32754,2.7037,1981
"4492",77,13,382,"The Tigers Are Burning",6.47792,2.4615,1988
"4493",61,13,314,"Tsushima",5.95738,2.3077,1989
"4494",125,17,534,"The Battle for Cassino: Assaulting the Gustav Line, 1944",5.21624,3.1765,1978
"4495",84,15,383,"Pleasant Hill: The Red River Campaign",6.54964,3.1333,1986
"4496",78,14,400,"The Italian Campaign: Sicily",5.44551,3.4286,1991
"4497",58,9,351,"The Italian Campaign: Salerno",5.57328,3.3333,1992
"4498",63,11,350,"The Italian Campaign: Anzio",5.40794,3.5455,1992
"4499",10,1,15,"Mozaic",5.99,2,2003
"4500",46,7,290,"The Italian Campaign: Med War",5.3337,3.4286,1993
"4501",55,8,335,"Donau Front",5.81364,2.5,1989
"4502",68,13,362,"The Indian Mutiny",5.39779,2.6923,1988
"4503",53,10,306,"Korea: The Mobile War",5.83868,3.4,1987
"4504",52,9,318,"Iron Cross",5.25962,2.7778,1990
"4505",63,8,307,"Fortress Stalingrad",6.50159,2.375,1988
"4506",59,8,339,"Ruweisat Ridge: The First Battle of El Alamein",6.33475,2.625,1985
"4507",77,12,349,"Soldiers of the Queen: Battles at Isandhlwana and Omdurman",6.32208,2.9167,1984
"4508",74,8,138,"Phantom Rallye",4.92027,1.375,2003
"4509",4,3,22,"Mary Poppins Carousel Game",3.875,1,1964
"4510",18,4,33,"Cranium Cosmo",5.30556,1.75,2001
"4511",58,12,321,"Blitzkrieg '41",6.52931,2.5833,1989
"4512",26,1,53,"Tablin",7.30769,1,1983
"4513",65,9,281,"Borodino: Doomed Victory",4.21708,3.2222,1990
"4514",89,14,392,"Hastings, 1066",6.42416,2.8571,1987
"4515",78,10,349,"13: The Colonies in Revolt",5.75128,3.6,1985
"4516",55,7,293,"Thunder at Luetzen",5.80545,2.8571,1985
"4517",51,9,314,"Warsaw Rising: Revolt of the Polish Underground, 1944",5.9902,3.2222,1986
"4518",3,1,5,"Epoch Wargame Electronics #3: The Battle of Sekigahara",6.33333,3,1983
"4519",2,1,3,"Epoch Wargame Electronics #6: D-Day",3.5,2,1983
"4520",49,8,385,"Tet '68",6.29082,3,1992
"4521",102,16,448,"Cortes: Conquest of the Aztec Empire",6.35775,2.5625,1993
"4522",83,18,398,"Shogun Triumphant",6.55783,2.8889,1993
"4523",90,16,392,"Antietam: Burnished Rows of Steel",6.665,2.5625,1993
"4524",71,7,335,"Desert Storm: The Mother of All Battles",5.76197,2.7143,1991
"4525",90,12,398,"Budapest '45",6.47889,2.4167,1994
"4526",35,6,206,"Samurai Sunset",6.45143,2.8333,1990
"4527",54,4,113,"Attila",6.08611,3.5,1981
"4528",103,16,466,"I Am Spartacus!",6.36214,2.5,1992
"4529",100,23,438,"Gettysburg: Lee's Greatest Gamble",6.494,2.7826,1992
"4530",82,11,357,"Port Arthur: The Russo-Japanese War",5.52805,2.3636,1992
"4531",69,19,354,"Czechoslovakia '38",6.06232,2.4211,1993
"4532",1649,191,2345,"Duel of Ages Set 1: Worldspanner",6.58954,2.8586,2003
"4533",7,1,22,"Anaconda",4,3,2002
"4534",53,6,115,"York Town",4.72075,3.1667,1981
"4535",56,4,153,"Little Big Horn",5.94018,3.75,1981
"4536",41,5,90,"Norge",6.07512,3.2,1981
"4537",1,1,7,"Chase Across the Planes",4,1,1990
"4538",1,1,5,"The Intruder Escapes",4,2,1990
"4539",2,1,4,"Real-ity Estate",4.75,1,1990
"4540",2,1,3,"The Quest for Maggie Darr",5.5,1,1990
"4541",2,1,6,"Maison Ikkoku: Love's Roulette (Koi no Roulette)",7,2,1987
"4542",2,1,5,"Interdimensional Chess",6,2,1990
"4543",2,1,3,"Second that Emotion",4.5,1,1990
"4544",1,1,4,"Attack of the Plant People",6,2,1990
"4545",2,1,4,"Escape from the Brotherhood",4,2,1990
"4546",2,1,4,"Race for the Crystal",4.5,1,1990
"4547",3,2,8,"Aura Battler Dunbine: Wing Caliver",7,3.5,1983
"4548",2061,212,2960,"Queen's Necklace",6.45594,1.9009,2003
"4549",2,1,3,"The Battle For Smithville II: An R.I.P. Cardgame",4,2,1990
"4550",1,1,7,"Mobile Suit Gundam: Close Fight",7,3,1984
"4551",2,1,3,"Mobile Suit Gundam: White Base",6,3,1982
"4552",2,2,6,"Mobile Suit Z Gundam: Green Noa 1",6.5,1.5,1985
"4553",1,1,5,"Mobile Suit Z Gundam: Titans",7,3,1985
"4554",4,4,9,"Mobile Suit Gundam: New Type",6.25,3,1981
"4555",5,3,12,"Mobile Suit Gundam: Fortress",7.4,2.3333,1981
"4556",7,6,20,"Mobile Suit Gundam: Jabro",6.28571,2.5,1981
"4557",5,3,17,"Star Trek II: The Wrath of Khan",6.2,2,1983
"4558",4,1,16,"Star Wars: Endor",5.5,3,1983
"4559",7,1,14,"Star Wars: Hoth",5.67857,3,1983
"4560",3,1,9,"Star Wars: Death Star",4.5,3,1982
"4561",3,2,13,"Place Your Bets!",6.33333,3.5,1974
"4562",69,7,152,"East & West",6.08986,3.2857,1981
"4563",76,17,186,"Okinawa",6.08684,2.9412,1981
"4564",47,7,100,"Sicilia '43",5.48511,2.5714,1981
"4565",51,8,111,"Rommel",6.34314,3.625,1981
"4566",5,1,9,"The 6 Pack of Paper & Pencil Games",6.6,2,1974
"4567",290,37,541,"Pack of Flies",4.97466,1.1351,2003
"4568",10,1,40,"Deadlands: Lost Colony – Showdown",5.4,3,2000
"4569",1,1,5,"King of the Anthill",5,1,1990
"4570",2,2,10,"Orguss: Orguroid",5,3,1984
"4571",1,1,8,"Orguss: Factory",6,3,1984
"4572",3,2,7,"Raid on the Bunker",5.33333,1.5,1990
"4573",2,1,5,"Heavy Metal L-Gaim",6,3,1984
"4574",2,1,5,"Raid on Bananama: The Bad Boys Game",5.75,2,1990
"4575",1,1,11,"Aura Battler Dunbine",7,2,1983
"4576",1,1,6,"Craters of Tharsis",5,1,1990
"4577",1,1,6,"Battle for the Sprawls",4,2,1990
"4578",2,1,13,"The Gauntlet",5,2,1990
"4579",2,1,7,"Zombie Rampage",2.5,2,1990
"4580",1,1,6,"Attack in the Asteroids",6,2,1990
"4581",5,1,5,"Zombie Nation",4.4,2,1990
"4582",29,2,71,"Mafia",5.48276,1.5,1981
"4583",10,1,35,"Abraxas",5.15,1,1993
"4584",92,10,151,"Battle Dome",6.37833,1,1994
"4585",1684,147,4178,"Zombies!!! 3:  Mall Walkers",6.09244,1.6735,2003
"4586",21,3,79,"Goosebumps: Shrieks and Spiders Game",3.97619,1,1995
"4587",507,53,648,"Nobody but Us Chickens",6.15845,1.1887,2003
"4588",163,14,272,"Discovery",5.89816,1.7857,2002
"4589",54,6,112,"Laser Attack",5.81204,1.1667,1978
"4590",57,5,220,"Star Wars: Escape the Death Star Action Figure Game",4.67544,1.2,1998
"4591",36,6,100,"Waterloo",6.27778,2.5,1981
"4592",41,5,91,"Austerlitz",6.27829,2.8,1981
"4593",19,3,20,"Cheat",4.97368,1,1995
"4594",20,1,31,"High Stakes",5.8375,3,1974
"4595",16,1,47,"Idro",6.39375,1,1981
"4596",36,5,96,"Jena",5.91694,2.8,1981
"4597",25,2,62,"Wohrom",6.6684,3,1981
"4598",3,1,25,"Triple Traveler",4,1,1993
"4599",11,2,41,"Cloister Games",4.63636,1,1992
"4600",453,56,573,"Drive",6.48576,1.2679,2003
"4601",489,47,1044,"Duel of Ages Set 2: Intensity",7.45863,2.9574,2003
"4602",192,15,557,"Duel of Ages Set 6: Field of Honor",7.3224,2.9333,2003
"4603",287,19,688,"Duel of Ages Set 3: Vast Horizons",7.46607,2.8947,2003
"4604",222,18,614,"Duel of Ages Set 4: Royal Tournament",7.40009,3,2003
"4605",207,17,575,"Duel of Ages Set 5: Mercenary Camp",7.3971,3,2003
"4606",191,16,547,"Duel of Ages Set 7: Ruins of Cany XII",7.38115,2.9375,2003
"4607",27,7,73,"S.F.3.D. Original",6.95556,2.2857,1984
"4608",3,3,4,"Armored Trooper Votoms: Red Shoulder",5.66667,3.3333,1986
"4609",1,1,6,"Armored Trooper Votoms: Civil War",7,2,1986
"4610",3,2,7,"The Amazing Spider-Man",6,2,1984
"4611",29,4,78,"Stop it!",4.44828,1.25,2003
"4612",30,6,130,"Crisis: 2000",5.43333,1.8333,1994
"4613",2,2,7,"Crusher Joe",6,2.5,1983
"4614",8,1,23,"Dragon Quest Dungeon",7.3125,2,1990
"4615",16,1,65,"Summonaria",4.90625,3,2003
"4616",14,2,52,"Battle of the Ring",5.78571,3.5,1977
"4617",68,6,172,"Twilight Imperium: Distant Suns",6.83235,2.8333,1998
"4618",20,5,98,"Fury on Champlain",5.915,2.8,1994
"4619",6,2,22,"S-P-O-N-G-E: Fight the Evil",6.16667,3.5,2001
"4620",15,4,57,"Hexago",5.2,1.75,1977
"4621",184,10,589,"Avalon",5.51223,1.8,2003
"4622",66,6,177,"Twilight Imperium: The Outer Rim",6.80303,2.5,1998
"4623",78,8,212,"Twilight Imperium: Borderlands",6.83013,2.75,1997
"4624",271,23,361,"Xe Queo!",6.48694,1.4783,1998
"4625",20,1,101,"Home Alone",4.01,1,1991
"4626",3,1,5,"Dragon Ball Z: Il Torneo",6.66667,2,1998
"4627",79,12,308,"The Sun of Austerlitz",7.1,3.5,2003
"4628",6,1,35,"VCR College Bowl Game",4.83333,3,1987
"4629",274,31,535,"Dante's Inferno",4.7065,2,2003
"4630",211,57,696,"The Rise of the Roman Republic",6.87701,3.7719,2003
"4631",220,35,685,"Enemy at the Gates",7.59457,4.3714,1994
"4632",1206,240,2223,"Europe Engulfed",7.53876,3.775,2003
"4633",5,2,8,"Vici",6.08,2,2001
"4634",657,86,762,"Mag·Blast (Second Edition)",6.393,1.5349,2002
"4635",79,10,232,"On Assignment with National Geographic",4.96646,1.4,1990
"4636",19,1,76,"Doorways to Horror",5.5,2,1986
"4637",117,24,415,"StarSoldier: Tactical Warfare in the 25th Century",6.22068,3.25,1977
"4638",24,2,96,"War of Wizards",4.60417,1.5,1975
"4639",9,1,27,"Mind War",5.5,1,1976
"4640",39,10,92,"Ice Lake",5.57949,1.4,2002
"4641",25,2,23,"Afrikan tähti korttipeli",3.568,1,1996
"4642",28,2,73,"Caper",6.16071,1,1970
"4643",4,1,14,"Escalation",3,1,1990
"4644",194,30,519,"Eastern Front Tank Leader",6.78711,2.9333,1986
"4645",31,9,104,"Rolling Thunder",4.4329,4.1111,1979
"4646",48,5,107,"Snafooey",5.35417,1,1982
"4647",32,2,33,"Pimps and Hos",3.5625,1,2002
"4648",44,5,120,"Trivial Pursuit: Know-It-All Edition",5.52273,2,1998
"4649",3,1,6,"The Embattled Trek",6,1,1977
"4650",164,23,539,"The Perilous Parlor Game",5.50152,1.7826,2002
"4651",18,3,31,"Wood Wars: Fantasy Miniatures Game",6.95,2.3333,2000
"4652",9,2,20,"Cleopatra's Gambit",5.38889,1,2002
"4653",20,4,42,"Beware of the Wolf!",5.3165,1,1981
"4654",5,1,8,"Murder Mystery Party: Revenge of Konan Castle",5.8,1,1986
"4655",147,21,619,"The Crusades",6.21905,2.9048,1978
"4656",11,4,39,"Rex",5.54545,2.5,1972
"4657",28,2,94,"Quest for the Dungeonmaster",4.21429,1,1984
"4658",13,1,16,"Attica",6.92308,2,2003
"4659",1100,89,2921,"Killer Bunnies and the Quest for the Magic Carrot RED Booster",6.41475,2.0337,2003
"4660",21317,2029,24602,"Alhambra",7.04424,2.1183,2003
"4661",233,22,480,"Chez Grunt",5.81076,1.4545,2003
"4662",100,19,254,"Arnhem: Defiant Stand",7.63456,3.8421,2003
"4663",109,22,263,"Wacht am Rhein",7.42752,3.7273,1977
"4664",19,7,32,"The Adventures of Harley",5.02632,1.1429,1992
"4665",6,1,17,"Signs Up",5.33333,1,1981
"4666",1421,145,1667,"King's Breakfast",6.18462,1.1724,2003
"4667",590,78,2440,"Bohnaparte",5.83504,2.141,2003
"4668",65,8,286,"West End Adventures",7.49308,3.5,1995
"4669",22,1,60,"Maze",6.55455,2,1982
"4670",3,1,10,"Wall Street",6,1,1986
"4671",82,13,221,"Objective Moscow: The Death of Soviet Communism",6.6189,4,1978
"4672",26,1,70,"You Need Drew's Truck",5.26923,1,2003
"4673",58,4,143,"Junior Stratego",5.48276,1,1997
"4674",6,1,11,"Aquarian Age",7.41667,3,2000
"4675",2,1,3,"Girls High School Athletic Festival",5.25,1,1991
"4676",1156,145,1523,"Eketorp",6.37365,2.0759,2003
"4677",134,20,345,"Azhanti High Lightning",6.31866,2.2,1980
"4678",264,24,358,"The Ungame",2.82928,1.2083,1973
"4679",151,14,256,"Shark Attack!",4.72384,1,1988
"4680",13,1,62,"Stock Market: The Wall Street Trading Game",6.11538,2,1997
"4681",4,1,5,"Panic High School",6.0625,1,1991
"4682",7,3,13,"Tank Hunter",6.07143,1,1989
"4683",3,2,13,"Tank Buster",5.66667,1,1989
"4684",6,1,3,"Operation Barbarossa: Moscow Winter General",5.33333,2,1990
"4685",40,4,95,"Mighty Warriors",5.3,1.25,1991
"4686",1,1,4,"Pargolf",5.5,2,1996
"4687",10,2,5,"5 Card Nancy",6.85,1,2000
"4688",37,10,112,"Seekrieg (Fourth Edition)",7.0027,3.9,1981
"4689",53,8,200,"Dying Lights",5.0566,3.125,2003
"4690",52,5,94,"Switchboard",5.95192,2,1966
"4691",12,1,50,"You Just Became a Millionaire",5.08333,1,1991
"4692",12,2,24,"Farook",5.625,2.5,1990
"4693",45,5,73,"NBA Showdown",6.72333,2.4,2001
"4694",8,2,28,"Cargo",4.5625,1,1986
"4695",6,1,13,"And Now For Something Completely Different... The Board Game",3.83333,1,1999
"4696",19,5,53,"Riverboat Showdown",4.40526,1.4,1976
"4697",37,3,62,"Zomax",5.72162,1.6667,1988
"4698",2577,313,2740,"Gulo Gulo",6.87703,1.0767,2003
"4699",465,66,866,"Lord of the Rings",6.00245,1.2424,2003
"4700",287,52,589,"Monty's Gamble: Market Garden",7.07207,3.2115,2003
"4701",69,14,157,"Cirondo",5.67101,3,1991
"4702",509,69,925,"Age of Steam Expansion #1: England & Ireland",8.06416,3.913,2003
"4703",56,11,129,"Antietam: The Bloodiest Day, 17 September 1862",6.17857,2.0909,1975
"4704",14,3,25,"Ghost Train",6.57143,1,1974
"4705",6,2,10,"Airport",7.41667,2,1999
"4706",64,6,120,"Monopoly: World Cup France '98 Edition",4.92344,2.5,1998
"4707",41,2,63,"Monopoly: Hong Kong",4.5122,2,1997
"4708",55,5,94,"The Totally Insane Card Game",5.83636,2.6,1993
"4709",1326,139,2708,"Dungeons & Dragons: The Fantasy Adventure Board Game",6.50394,2.1727,2003
"4710",38,2,100,"Make 7",5.81579,2,1994
"4711",229,20,451,"King Arthur",5.19738,1.5,2003
"4712",8,1,17,"Thunderbirds Mission Alert",2.25,1,1999
"4713",26,5,86,"Star Poker",5.08654,1.4,1994
"4714",59,10,308,"Napoleon at the Berezina",6.69492,3.2,2003
"4715",55,4,188,"Made for Trade",4.91364,1.75,1984
"4716",13,2,21,"Up Periscope",5.5,1,1975
"4717",22,3,40,"Quick Count",5.43182,1,2000
"4718",128,15,227,"WarCry",6.30906,2.4,2003
"4719",272,18,656,"Sequence for Kids",5.74654,1,2001
"4720",132,12,290,"Life Style",5.36667,1.1667,1989
"4721",7,2,27,"Passtimes",5.14286,2,1992
"4722",31,5,99,"Nibelungen",4.97806,1.2,1992
"4723",158,16,240,"Mr. Mouth",4.88085,1,1976
"4724",141,8,271,"Star Wars: Return of the Jedi – Battle at Sarlacc's Pit",4.90213,1.125,1983
"4725",25,2,78,"Super Nova",5.31004,2,1995
"4726",10,2,40,"Spuren im Busch",5.3,2,1994
"4727",2,1,3,"Go Bark Card Game",7.5,1,2003
"4728",22,4,43,"Combat",5.57955,1.25,1963
"4729",5,2,26,"Buy or Sell",6,1.5,1967
"4730",33,1,102,"Egyptians",4.39667,1,2001
"4731",49,2,156,"Close Encounters of the Third Kind",4.72857,1,1978
"4732",102,21,205,"Ancients I",6.31912,1.9048,1992
"4733",41,7,40,"Boccerball",6.92683,1,1993
"4734",54,11,178,"Forward to Richmond!",6.30185,3.4545,1980
"4735",8,2,34,"Florida",3.125,1,1993
"4736",48,11,180,"Seven Days Battles",5.575,2.1818,1993
"4737",111,18,268,"Four Battles of the Ancient World",6.02928,1.8889,1992
"4738",86,12,406,"Hannibal: The Second Punic War",5.69244,2.4167,1991
"4739",12,1,67,"Hannibal: The Italian Campaign",5.54167,3,1983
"4740",13,3,60,"Norseman: Viking Kingdoms of the North Sea",5.26923,3,1985
"4741",3422,358,4208,"Blokus 3D",6.83397,1.7542,2003
"4742",29,1,63,"Humm...ble",4.21379,1,1991
"4743",51,1,73,"Genius Rules",6.12353,1,1987
"4744",7,1,10,"Hot Corner Baseball",6.35714,1,1991
"4745",38,2,87,"Dredd: The Card Game",6.92105,2.5,1999
"4746",8,1,21,"Chronicles",7.3125,1,1996
"4747",17,2,77,"Thunderin' Guns",5.62941,1.5,1983
"4748",471,43,1240,"Cranium Cadoo",5.32055,1.2093,2001
"4749",10,1,9,"Tocce",6.63,1,1995
"4750",28,3,82,"Kage",5.03571,1.6667,1986
"4751",3,1,6,"Le Camino",6.33333,2,1973
"4752",1,1,14,"Super Nova: Event Horizon",5,1,2000
"4753",2,1,5,"Backscrabbing",3.5,3,1989
"4754",124,25,421,"Air & Armor",7.59355,3.56,1986
"4755",14,3,47,"Destination Mars",5.05,1.3333,1999
"4756",15,1,43,"Star Empires",5.86667,3,1987
"4757",51,5,108,"Echelons of Fury",4.48431,2.2,1995
"4758",5,1,20,"Force",4.35,1,1977
"4759",3,1,13,"Off Course",7,2,1986
"4760",9,2,18,"East & West: Global War in 1948",6.61111,2.5,2000
"4761",48,2,95,"Time Control",2.17042,2.5,2003
"4762",21,3,67,"Murder à la carte: Pasta, Passion & Pistols",5.74286,2.3333,1995
"4763",7,1,34,"Murder à la carte: Bullets 'N' Barbecue",4.92857,1,1994
"4764",22,2,37,"Floß geht's!",6.59091,1,2003
"4765",31,3,50,"Doktor Igel",5.74194,1,2001
"4766",15,2,37,"Fleet Fins",6.44667,1,2003
"4767",23,8,119,"Lodz 1914: First Blitzkrieg",6.86522,4,1998
"4768",234,32,416,"The Testimony of Jacob Hollow",5.72088,1.75,2003
"4769",17,2,38,"S.F.3.D II Operation Faserei",6.97647,3.5,1986
"4770",15,4,56,"Leopard II",5.33333,4,1986
"4771",56,7,108,"Pirates' Gold",5.75,1,1990
"4772",49,6,141,"Full Metal Planete: Plateau Modulaire",7.39796,3,1989
"4773",25,4,89,"Isaac Asimov's Robots VCR Mystery Game",5.012,1.5,1988
"4774",52,8,226,"Hetzer Sniper!: Sniper Companion Game #1",6.80615,3.625,1987
"4775",9330,1125,8887,"A Game of Thrones (first edition)",7.28944,3.4462,2003
"4776",95,11,139,"L-Game",5.05579,2.0909,1968
