"","stats.usersrated","stats.numweights","stats.owned","details.name","stats.average","stats.averageweight","details.yearpublished"
"377",1928,171,3360,"Master Labyrinth",6.28771,1.8012,1991
"378",10344,857,15725,"Scotland Yard",6.51215,1.9638,1983
"379",261,30,267,"Zoff in Buffalo",6.34751,2.0333,1998
"380",647,66,943,"Filthy Rich",6.37809,1.8939,1998
"381",1859,207,2929,"Um Reifenbreite",6.85807,1.9758,1979
"382",1628,114,2125,"Code 777",6.73389,2.3421,1985
"383",1317,142,1943,"Midnight Party",6.4341,1.1549,1989
"384",191,15,323,"Die Osterinsel",5.77665,1.6,1994
"385",198,20,355,"Avalanche",5.78434,1.2,1965
"386",233,38,265,"The Great Balloon Race",6.16867,1.3158,1991
"387",287,20,541,"Octi",6.76895,3.5,1999
"388",35,2,95,"Beutelschneider",6.03429,1.5,1997
"389",145,20,519,"Mummy Rummy",5.03517,1.2,1994
"390",575,54,1987,"La Isla Bohnitâ",5.80687,2,1998
"391",127,14,143,"Tante Tarantel",6.17126,1.2143,1991
"392",79,8,175,"Am Fuß des Kilimandscharo",5.5481,1.125,1995
"393",121,16,155,"Jumbo Grand Prix",5.80826,1.4375,1998
"394",408,49,790,"Sherlock Holmes: The Card Game",6.39434,1.4694,1991
"395",225,27,316,"Ausgebremst",6.92169,1.6296,1993
"396",346,39,554,"Railway Rivals",6.73769,2.3333,1973
"397",177,19,366,"Freibeuter",6.30989,1.8947,1998
"398",112,10,186,"Esels-Rennen",5.5,1.2,1989
"399",22883,1754,25358,"Magic: The Gathering",7.43768,3.1448,1993
"400",675,61,713,"Billabong",6.85222,1.9672,1995
"401",57,2,91,"Zankapfel",6.24561,2,1993
"402",2364,205,4139,"Inkognito",6.59832,2.1415,1988
"403",734,71,1537,"Bohnanza Erweiterungs-Set",7.0876,1.6338,1997
"404",109,9,181,"In Teufels Küche",6.06972,1.1111,1993
"405",249,32,551,"Road to the White House",6.13635,3.5312,1992
"406",103,9,240,"Totem",5.41553,2.5556,1995
"407",2296,238,3214,"DungeonQuest",6.69175,1.937,1985
"408",226,27,331,"Olé!",6.58429,1.4074,1996
"409",204,31,518,"Cold War",6.17819,2.871,1984
"410",6220,739,6798,"Taj Mahal",7.33569,3.0081,2000
"411",266,26,759,"Mr. President",6.61184,2.1923,1967
"412",113,12,201,"The Broadway Game",6.41726,2.3333,1981
"413",37607,3360,49514,"Citadels",7.14768,2.0616,2000
"414",115,11,295,"Bambuti",5.9287,2.7273,1999
"415",3061,368,3547,"Carolus Magnus",6.85188,2.5897,2000
"416",361,36,652,"Sky Runner",5.57924,1.5556,1999
"417",655,50,1533,"Stratego Legends",5.75063,2.24,1999
"418",863,90,1310,"Galloping Pigs",5.71878,1.1444,1992
"419",186,29,410,"Barnyard Buddies",5.78521,1.0345,1996
"420",206,23,461,"Power",6.00413,2.6522,1981
"421",44,3,109,"Stake Your Claim",5.97727,1,1985
"422",86,3,132,"Pacal",6.19779,1.6667,1999
"423",235,33,305,"Warangel",7.66751,2.4848,2000
"424",3044,334,2789,"Web of Power",7.30828,2.4611,2000
"425",2863,324,3483,"Aladdin's Dragons",6.93687,2.4722,2000
"426",3826,430,3646,"Ave Caesar",6.63911,1.3698,1989
"427",237,23,475,"Time Pirates",5.57321,2.0435,2000
"428",25,1,69,"Dilemma",4.004,1,2000
"429",562,69,795,"Vampire",5.89425,1.3333,2000
"430",19,1,53,"Sufferin' Spirits",5.86842,2,1987
"431",330,35,380,"Arbos",6.37324,1,1999
"432",54,3,102,"MARK",5.97222,1.3333,1997
"433",40,3,70,"Dschungelrennen",6.175,1,1989
"434",14,1,15,"Bretonenboule",6.42857,1,1998
"435",10553,1325,10588,"Through the Desert",7.04787,2.2143,1998
"436",111,14,280,"Die Verbotene Stadt",6.18649,1.8571,1992
"437",96,7,158,"Goldener Drache",5.72656,1.8571,1992
"438",454,55,897,"The Big Cheese",5.88454,1.3455,1998
"439",158,19,242,"Cartel",6.93382,2.2632,1973
"440",724,92,1097,"Blue Max",7.10924,2.25,1983
"441",684,70,1080,"The Reef",5.69996,1.6,2000
"442",194,17,397,"Eschnapur",5.72727,2.3529,2000
"443",929,116,1610,"Silverton",7.08763,3.2241,1991
"444",36,3,27,"Holiday!",6.59194,2,1973
"445",381,38,685,"True Colors",6.00105,1.1579,1989
"446",232,25,223,"6-Tage Rennen",6.89286,1.76,1986
"447",8,2,28,"Shark Bait",5.125,1,2000
"448",111,7,191,"Mush",5.83739,1.7143,1994
"449",2240,253,3627,"Axis & Allies: Europe",6.50872,2.8419,1999
"450",309,25,716,"Desperados",5.53492,1.48,1990
"451",104,4,200,"Pisa",6.30721,1.75,1999
"452",4593,406,6759,"Abalone",6.42826,2.2192,1987
"453",2304,199,3543,"GIPF",7.11612,2.7688,1997
"454",3255,312,4274,"ZÈRTZ",7.30703,2.7179,1999
"455",34,1,80,"Charlemagne",6.21471,4,1998
"456",66,4,122,"Entenrallye",5.71818,1.75,1988
"457",1434,176,2105,"Merchants of Amsterdam",6.73194,2.6307,2000
"458",1041,121,2118,"Labyrinth: The Card Game",5.53712,1.2314,2000
"459",486,46,958,"N.Y. Chase",6.43521,2,1999
"460",165,24,512,"Power Barons",5.39224,2.0417,1986
"461",203,25,346,"Visionary",6.49163,1.28,1997
"462",13,2,21,"Ice Blocks",5.38462,1.5,2000
"463",119,14,179,"Manager",6.38866,2.5,1991
"464",664,70,1362,"Dampfross",6.32102,2.2286,1979
"465",198,21,303,"Sisimizi",6.3048,1.9524,1996
"466",346,40,435,"Das Motorsportspiel",7.47279,2,1995
"467",1071,106,1356,"Democrazy",5.50497,1.283,2000
"468",571,43,739,"Kaleidos",6.74532,1.2791,1994
"469",22,3,28,"Flohzirkus",6.68182,1,1997
"470",712,70,1342,"Buck Rogers: Battle for the 25th Century Game",6.41815,2.6714,1988
"471",84,12,60,"Aerodrome",7.63393,2.1667,1994
"472",1242,133,2049,"Barbarossa",6.41039,1.5564,1988
"473",3200,409,3887,"Battle Cry",7.16677,2.1027,2000
"474",653,69,709,"Bus",6.8486,3.087,1999
"475",3871,340,6165,"Chez Geek",5.74057,1.4206,1999
"476",4643,535,5823,"La Città",7.09621,3.2729,2000
"477",13115,1531,13853,"The Princes of Florence",7.59407,3.2521,2000
"478",92,6,175,"7 Safari",5.38043,1.1667,2000
"479",125,11,243,"Laguna",5.86189,2,2000
"480",208,28,457,"Der weiße Lotus",6.17457,2.8571,2000
"481",4608,526,4978,"Metro",6.36559,1.6996,1997
"482",89,9,177,"Flußpiraten",6.09549,2.1111,1990
"483",384,38,564,"Silberzwerg",6.41595,2.5263,2000
"484",87,7,149,"Doolittle & Waite",6.21793,1.8571,1986
"485",79,8,180,"Die Seidenstraße",5.39241,1.875,1998
"486",113,14,233,"Port Royal",6.16327,2.3571,2000
"487",389,37,484,"Wongar",6.32718,3,2000
"488",1374,139,3156,"Rage",6.18028,1.482,1983
"489",162,12,335,"Maestro",5.85216,1.9167,1989
"490",14,3,13,"Terrain Game",4.92857,1.6667,1997
"491",71,5,114,"Papua",6.10845,1.6,1992
"492",69,2,178,"Battle Cattle",5.42319,1.5,1996
"493",80,10,163,"Grand Prix",6.2725,1.4,1975
"494",284,37,332,"Formel Fun",6.41113,1.5135,1991
"495",59,4,160,"Das Kollier",5.5339,2.5,2000
"496",596,55,1599,"Illuminati: Y2K",6.97601,2.5455,1999
"497",223,21,579,"Parts Unknown",5.93946,1.9048,1999
"498",13,2,32,"Protzen",4.20769,2,2000
"499",225,21,547,"Tile Chess",5.93413,2.6667,1999
"500",30,5,107,"Kampf um Rom",5.49333,3.2,1995
"501",586,56,1676,"The El Grande Expansions",7.35628,3.0893,2000
"502",112,10,193,"Kardinal",6.675,2.2,2000
"503",1865,270,3108,"Up Front",7.83799,3.3889,1983
"504",28,2,63,"Sumera",6.31071,3,1999
"505",1527,167,1833,"Wiz-War",6.90275,1.982,1983
"506",158,12,237,"Favoriten",6.38804,1.3333,1989
"507",2209,189,3933,"Sleuth",6.89221,2.4603,1971
"508",154,19,458,"Escape from Elba",5.42468,1.6842,1999
"509",5,1,9,"Trolley Car",5.84,2,1999
"510",291,33,1309,"El Grande: Grandissimo",6.89021,3.0909,2000
"511",9,2,23,"Stack 21",3.22222,1,1997
"512",56,4,137,"Die Weinhändler",5.06339,1.75,2000
"513",45,6,49,"Take Two",5.74,1.1667,1996
"514",189,16,394,"Career Poker",6.57831,1.375,1988
"515",78,7,225,"Putsch",5.51987,3.2857,1998
"516",39,2,117,"Verrat!",5.49744,3,1999
"517",154,13,221,"Banana Republic",5.33636,1.4615,1993
"518",263,32,382,"Pico 2",5.89776,1.1562,1997
"519",753,85,1416,"Honor of the Samurai",5.90247,2.2,1996
"520",280,23,425,"Siesta",6.30286,2.5652,1999
"521",25,1,49,"Ferkelei",5.56,1,1995
"522",64,5,91,"Knights of the Rainbow",4.77344,1.2,1999
"523",39,5,59,"Ironman Football",6.03205,2.2,1995
"524",140,8,215,"Kippit",5.95943,1,1999
"525",56,8,169,"Overboard",5.58393,1.875,1978
"526",274,21,596,"Rubik's Race",5.93199,1.2857,1982
"527",15,1,71,"Cube Fusion",5.33333,2,1968
"528",16,3,53,"Egghead",6.1875,2,1974
"529",29,2,63,"Alles Futsch",5.24138,2,1998
"530",214,18,374,"MLB Showdown",6.12056,1.9444,2000
"531",2376,242,2989,"The Bottle Imp",6.74224,1.905,1995
"532",1058,137,1532,"We the People",7.33241,2.7226,1994
"533",469,45,649,"25 Words or Less",6.57136,1.5333,1996
"534",162,18,412,"Change!",5.29784,1.2222,1999
"535",225,31,462,"Swashbuckler",6.90013,2.3871,1980
"536",4271,337,5733,"Quoridor",6.69271,1.9139,1997
"537",72,4,107,"Business",6.14306,2,1998
"538",918,138,2138,"War and Peace",6.65409,3.3623,1980
"539",61,15,173,"Royal Tank Corps",6.55984,2.7333,2000
"540",157,12,244,"Q-Turn",5.02936,1.25,1999
"541",33,4,77,"Double Quick",7.19697,1.5,1999
"542",947,97,1026,"Daytona 500",7.14886,1.7835,1990
"543",2051,255,2043,"Cloud 9",6.47126,1.1529,1999
"544",906,79,1667,"Elixir",5.52579,1.5063,1997
"545",2499,195,2998,"River Dragons",6.46149,1.7128,2000
"546",1702,203,1977,"Formula Motor Racing",6.39899,1.1872,1995
"547",17,3,36,"Blindside",6.25294,2,1998
"548",213,22,271,"Stock Car Championship Racing Card Game",6.81936,2.1364,1995
"549",3021,339,4565,"Hera and Zeus",6.52656,2.0324,2000
"550",328,48,597,"American Megafauna",7.00869,3.7917,1997
"551",232,19,481,"Oodles",6.15255,1.3684,1992
"552",132,10,282,"Deadlands: Doomtown Range Wars",6.31705,2.2,2000
"553",408,46,706,"Shipwrecked",5.69112,1.4783,2000
"554",338,30,674,"Bosworth",5.82544,2.1,1998
"555",64,9,134,"Pirate's Plunder",4.58859,1.5556,2000
"556",102,6,218,"Mystick Domination",6.4951,2.8333,2000
"557",75,9,200,"Vox Populi",4.45733,2.1111,1999
"558",107,11,254,"Thieves of Bagdad",6.02897,2.1818,1999
"559",84,6,198,"Fairy Meat",5.91274,1.6667,2000
"560",474,35,697,"Zero",6.4188,1.2857,1998
"561",39,2,112,"X-Net",5.78205,2.5,1999
"562",101,16,244,"Shit!",5.48129,1.1875,1996
"563",1542,160,2076,"Castle",6.11521,1.9125,2000
"564",114,11,167,"Münchhausen",5.83728,1.0909,1996
"565",87,7,133,"Riffifi",5.96609,1,2000
"566",377,42,642,"Where's Bob's Hat?",6.22062,1.5952,1990
"567",30,1,61,"Siege",4.93333,1,1999
"568",70,10,68,"Quackshot",6.86743,1,1995
"569",22,2,65,"Stump",6.22727,1,1968
"570",5,1,9,"Refugium",5.8,3,1999
"571",310,35,377,"Sternenhimmel",6.5774,2.0857,1995
"572",627,72,781,"Plague & Pestilence",6.12509,1.3889,1993
"573",1031,132,2899,"Starship Troopers",6.45814,3.0833,1976
"574",175,22,643,"Bull Run",6.21137,3.0455,1983
"575",190,21,390,"Star Traders",6.30658,2.381,1987
"576",97,9,266,"J.U.M.P. Into the Unknown",5.26289,2.7778,1999
"577",73,7,177,"4th Dimension",5.26027,2,1979
"578",28,1,61,"Ninja Wars",4.70464,1,1998
"579",543,40,1289,"Would You Rather...?",4.41952,1.225,1998
"580",4,1,30,"X-it!",5.07325,3,1997
"581",183,15,307,"Minion Hunter",6.11295,1.9333,1992
"582",300,25,745,"Dune",5.7555,2.16,1984
"583",3791,268,5580,"Quarto",6.81715,2.0261,1991
"584",522,44,1153,"Monopoly: The Card Game",5.5495,1.4545,2000
"585",47,4,79,"Marrakesh",7.03191,2,1978
"586",376,34,720,"Dr. Jekyll & Mr. Hyde",6.78882,2.4118,1997
"587",140,18,296,"Cabale",6.20643,2.5,1999
"588",63,7,404,"Manchu",5.78095,2.7143,1988
"589",77,17,386,"Singapore",6.29078,2.4118,1984
"590",1599,228,1986,"Timbuktu",6.69874,2.7851,1993
"591",1093,149,1842,"Wizard Kings",6.70615,2.6711,2000
"592",57,6,112,"Fibonacci",6.33246,1.8333,1992
"593",802,93,1331,"The Big Idea",6.32968,1.3226,2000
"594",499,44,1297,"Conspiracy",6.25721,1.9091,1973
"595",198,12,319,"Gother Than Thou",4.5848,1.1667,2000
"596",8218,700,12048,"HeroQuest",7.02496,2.1714,1989
"597",1726,162,3074,"Battle Masters",6.14928,1.8951,1992
"598",1701,235,3383,"A House Divided",7.10135,2.6511,1981
"599",202,18,375,"Wabbit Wampage",5.8896,2,1985
"600",71,18,390,"Roman Civil War",6.89648,3.1667,1993
"601",535,65,705,"Montgolfiere",5.81943,1.2154,1992
"602",51,14,319,"Caesar in Gallia",6.68922,3.0714,1993
"603",376,68,1071,"Frederick the Great",6.81662,2.7353,1975
"604",72,15,358,"When Tigers Fight",6.06806,3.1333,1994
"605",68,15,412,"Holy War: Afghanistan",6.21618,3.0667,1991
"606",61,7,148,"Dragons of Glory",6.17492,2.5714,1986
"607",354,45,690,"Snit's Revenge",6.22529,1.4444,1977
