tconst	averageRating	numVotes
tt0104849	7.9	127
tt7557238	5.6	9
tt0526030	6.2	53
tt3743244	6.4	5
tt2159657	6.6	5
tt0281998	8.0	6
tt0258989	4.4	24
tt0693829	7.6	5
tt0176163	7.5	35
tt0283271	5.7	7
tt4943568	6.3	6
tt0934814	8.2	122052
tt0879214	8.3	6
tt1172063	5.6	280
tt0263386	4.7	1303
tt0762920	7.3	11
tt0191057	5.8	24
tt8502456	5.1	51
tt1982885	5.2	5
tt0655908	7.6	9
tt0549883	8.4	9
tt6394044	8.0	22
tt7667084	8.5	8
tt1968678	6.2	25
tt0065865	6.2	338
tt0041302	6.9	119
tt7037254	8.0	5
tt1437323	6.0	7
tt1683227	6.4	12
tt1177504	7.7	20
tt6161208	6.4	5
tt5473478	7.5	24
tt1246886	4.7	6
tt0106178	4.6	157
tt0081586	6.0	35
tt3978972	7.9	58
tt0979019	6.5	6
tt5356274	7.0	231
tt0850495	6.2	5
tt6824526	7.0	14
tt0585662	8.8	5
tt2246584	6.5	10
tt1855078	8.0	474
tt1943593	7.4	10
tt0786929	4.6	5
tt2892788	7.4	14
tt0556463	6.5	15
tt5095464	6.3	6
tt0024361	7.7	207
tt5457222	2.9	230
tt2997000	6.1	22
tt1638894	6.0	547
tt6005114	8.5	42
tt7697866	6.8	39
tt0522625	8.3	43
tt0908606	8.1	15
tt1901322	8.0	5
tt5957704	7.8	5
tt8680500	8.1	20
tt1002921	7.1	54
tt6082980	8.1	33
tt5341496	7.5	1816
tt6971106	4.2	5
tt5245810	7.2	15
tt2593248	7.6	226
tt0100447	7.6	5
tt7133188	8.0	91
tt2523848	7.6	11
tt3011450	5.9	73
tt0382074	7.4	8
tt8075166	8.6	528
tt0069494	5.7	120
tt9197106	7.8	5
tt2947610	5.2	27
tt0524382	8.4	50
tt0636692	6.7	59
tt0173589	8.9	15
tt5883814	8.2	6
tt0114117	7.6	9549
tt5779286	5.8	585
tt8339444	7.1	100
tt0534541	6.8	29
tt1786048	4.4	119
tt0959044	8.1	14
tt2873536	8.2	48
tt0602017	7.2	18
tt1360544	1.6	531
tt0055618	7.7	2793
tt8657510	5.9	7
tt5092758	6.0	15
tt3857272	9.8	5
tt0077928	7.6	67037
tt1608585	5.3	26
tt3613830	6.2	11
tt0092687	7.0	259
tt3345556	6.6	7
tt8008798	8.6	20
tt5803150	4.0	8
tt1907204	7.6	10
tt0538751	6.6	18
tt2221794	7.6	5
tt6282376	8.4	14
tt0249164	6.8	102
tt0559315	7.7	45
tt0057984	3.0	151
tt1509367	8.8	5
tt4955096	5.9	10
tt0205212	3.4	15
tt0319512	7.0	83
tt0742603	7.6	70
tt1179694	7.5	254
tt0529493	7.8	46
tt0433485	7.3	16
tt3251306	3.0	334
tt0036234	4.1	12
tt1584679	6.8	6
tt0519586	7.3	817
tt5091018	6.1	9
tt3234980	8.0	134
tt0190172	8.2	9
tt4064910	6.1	16
tt0996377	5.8	20
tt2026317	6.9	7
tt0909227	6.7	15
tt0100090	7.7	11
tt2056375	9.2	6
tt0567172	8.7	91
tt0246677	7.0	22467
tt0772444	8.3	150
tt7256136	6.5	25
tt0954838	8.5	13
tt1339241	7.5	53
tt6821382	6.2	6
tt0403431	7.5	11
tt8735412	7.6	5
tt0727155	4.6	7
tt0067295	5.0	5
tt3920714	7.6	24
tt1202531	5.2	16
tt0080614	5.4	10
tt7614896	7.2	108
tt0051589	4.8	10
tt0872187	7.6	10
tt0274997	7.5	30
tt1338718	6.4	7
tt4978450	6.7	333
tt6528482	7.8	20
tt4699068	7.6	5
tt0995516	6.7	13
tt0522512	7.2	36
tt2267979	7.8	5
tt2056652	8.1	7
tt0378854	3.9	201
tt9077474	5.4	15
tt1018822	6.7	9
tt0770140	6.6	14
tt0393522	6.4	14
tt2240696	8.2	6
tt2689294	7.8	1143
tt1630547	7.9	13
tt3189814	6.8	13
tt0370379	6.2	8
tt0523007	6.5	78
tt0074198	4.8	5
tt6846238	8.2	40
tt0588189	8.4	425
tt0908921	6.6	8
tt0301138	8.0	8
tt0025843	5.1	110
tt0819954	6.8	15
tt0389293	6.6	11
tt0702973	8.4	720
tt0228886	4.2	5
tt5258168	9.0	21
tt1835861	2.5	6
tt0249054	5.7	10
tt6723494	3.8	206
tt1370566	6.7	46
tt4248294	8.4	40
tt1809283	8.1	7
tt0557282	7.8	11
tt5267614	8.7	6
tt2268116	8.4	1164
tt0620131	8.1	238
tt9869440	7.9	8
tt6861448	8.1	9
tt8782922	8.6	8
tt0931021	7.3	51
tt6036896	9.0	24
tt5461242	5.2	49
tt0042470	5.9	7
tt0638794	8.0	169
tt1237556	4.2	19
tt2343721	5.2	13
tt5951942	7.3	18
tt0235735	6.9	13
tt1473606	8.1	489
tt1692219	7.2	28
tt0094220	6.3	7
tt0463978	7.3	15
tt1114727	6.2	5
tt0941019	6.6	10
tt10163394	8.6	5
tt1405379	4.2	6
tt0775486	7.2	92
tt6640390	6.5	131
tt1098356	5.1	5394
tt0109592	7.2	18759
tt0912705	7.9	15
tt0109437	6.1	262
tt0415085	6.7	9
tt1781820	6.4	147
tt1585107	6.8	27
tt0181258	8.8	18
tt0962403	8.9	7
tt2049217	6.2	19
tt0403425	5.5	6
tt0738406	2.4	7
tt0300255	8.0	44
tt1441668	7.5	12
tt0693207	9.3	9
tt0950324	7.8	5
tt0038895	7.0	9
tt2121976	7.5	41
tt0334767	4.4	8
tt10470708	7.2	5
tt4836034	8.0	236
tt0609464	6.9	21
tt2147550	6.7	726
tt1751354	7.1	39
tt1245907	7.1	21
tt0426578	7.6	25232
tt6467482	7.5	7749
tt6253694	6.7	38
tt0818749	7.2	27
tt6154902	8.4	7
tt0356461	6.8	104
tt0703162	7.2	8
tt0023007	6.6	330
tt0519633	8.0	1286
tt6003538	6.4	35
tt0147788	8.0	250
tt7024712	6.2	32
tt0162214	6.4	61
tt0420181	6.6	248
tt0194837	5.9	57
tt0774517	6.8	23
tt8850788	5.0	6
tt5489954	5.1	60
tt6642052	6.7	100
tt9290340	8.2	5
tt9326326	6.8	30
tt0563043	6.9	7
tt2112303	4.7	55
tt3410934	9.4	7
tt0525682	8.7	6
tt1297280	6.9	74
tt2063423	7.6	5
tt8418222	8.7	1388
tt0162098	8.1	17
tt5355726	6.8	6
tt8586590	6.8	9
tt1082275	3.1	11
tt0158631	8.4	5
tt8483382	4.6	9
tt5467498	8.2	31
tt8753220	7.8	20
tt1179390	7.2	5
tt5197672	8.2	6
tt0529762	7.4	50
tt9430726	8.2	80
tt3807780	6.0	7
tt0977102	6.9	34
tt2186112	8.1	315
tt6091592	8.1	295
tt2181709	4.3	10
tt1247373	6.1	9
tt1426886	7.2	6
tt1431602	6.9	14
tt0849200	6.5	10
tt7584710	6.4	77
